nome_da_alteracao,descrição ecográfica dos achados,tags,conclusao
cisto de Baker (versão 1),Imagem anecoica medindo 00 mm no recesso entre o músculo semimembranoso e o gastrocnêmio medial.,"joelho, cisto de Baker, fossa poplítea",Achado compatível com cisto de Baker – sem sinais de complicação.
cisto de Baker (versão 2),"Lesão ovalada, anecoica, com reforço posterior, medindo 00 mm, na fossa poplítea.","joelho, cisto sinovial, poplítea","Cisto de Baker – achado comum, sugerido controle clínico."
derrame articular do joelho (versão 1),Distensão líquida no recesso suprapatelar com pequena quantidade de líquido anecoico.,"joelho, derrame articular, líquido sinovial",Derrame articular leve no joelho – sem sinais inflamatórios relevantes.
derrame articular do joelho (versão 2),Recesso suprapatelar preenchido por líquido ecogênico com ecos internos móveis.,"joelho, derrame, sinovite, inflamatório",Derrame articular heterogêneo – sugestivo de sinovite ou processo inflamatório ativo.
tendinopatia patelar (versão 1),Espessamento e hipoecogenicidade do tendão patelar junto ao pólo inferior da patela.,"joelho, tendão patelar, tendinopatia",Tendinopatia patelar – sem evidência de rotura parcial ou total.
tendinopatia patelar (versão 2),Tendão patelar espessado com focos de calcificações e degeneração intrassubstancial.,"joelho, tendão, tendinopatia calcificada",Tendinopatia crônica do tendão patelar com calcificações.
tendinopatia do quadríceps,"Tendão do quadríceps espessado, com ecotextura heterogênea, inserção patelar preservada.","joelho, quadríceps, tendão",Tendinopatia do quadríceps – sem sinais de rotura.
cisto parameniscal,Imagem anecoica de contorno ovalado medindo 00 mm adjacente ao menisco medial.,"joelho, menisco, cisto",Cisto parameniscal medial – possível achado associado à lesão meniscal.
cisto sinovial intercondilar,"Lesão cística medindo 00 mm entre os côndilos femorais, de aspecto sinovial.","joelho, cisto sinovial, intercondilar","Cisto sinovial intercondilar – achado acessório, sem sinais de compressão."
tendinopatia do supraespinhal (versão 1),"Tendinopatia do supraespinhal caracterizada por espessamento e perda do padrão fibrilar, sem roturas.","ombro, tendão, supraespinhal",Tendinopatia do supraespinhal – sem evidência de roturas.
tendinopatia do supraespinhal (versão 2),"Tendinopatia do supraespinhal e das fibras superiores do infraespinhal caracterizada por espessamento e perda do padrão fibrilar, sem evidentes roturas.","ombro, tendão, supraespinhal, infraespinhal",Tendinopatia de supra e infraespinhal – sem roturas evidentes.
tendinopatia do supraespinhal (versão 3),"Tendinopatia do supraespinhal, fibras superiores do infraespinhal e subescapular com espessamento e perda do padrão fibrilar, sem evidentes roturas.","ombro, tendões, manguito rotador",Tendinopatia do manguito rotador – sem transfixações ou desinserções.
tendinopatia do supraespinhal (versão 4),"Tendinopatia do supraespinhal com focos de fissuras e degeneração intrassubstancial, sem nítidas transfixações ou desinserções.","ombro, supraespinhal, fissura",Tendinopatia do supraespinhal com degeneração intratendínea – sem transfixações.
tendinopatia do supraespinhal (versão 5),"Acentuada tendinopatia do supraespinhal com espessamento, degeneração intrassubstancial e fissuras, sem nítidas transfixações.","ombro, tendinopatia grave",Tendinopatia acentuada do supraespinhal – sem transfixações completas.
bursite subacromial-subdeltoidea (versão 1),Fina lâmina líquida na bursa subacromial-subdeltoidea.,"ombro, bursite, bursa",Bursite subacromial-subdeltoidea leve.
bursite subacromial-subdeltoidea (versão 2),Discreto espessamento da bursa subacromial-subdeltoidea.,"ombro, bursopatia",Discreta bursopatia subacromial-subdeltoidea.
